"","OutcomeType","OutcomeLabel_I","Type of outcome?","n"
"23","Locomotor activity","LMA - L - Olanz","Behavioural (primary): locomotor hyperactivity, PPI impairment",7
"24","Locomotor activity","Loc15","Behavioural (primary): locomotor hyperactivity, PPI impairment",6
"25","Locomotor activity","Loc60","Behavioural (primary): locomotor hyperactivity, PPI impairment",6
"26","Locomotor activity","Locomotor activity – total distance travelled","Behavioural (primary): locomotor hyperactivity, PPI impairment",16
"27","Locomotor activity","MK-801 locomotor hyperactivity – total distance","Behavioural (primary): locomotor hyperactivity, PPI impairment",6
"28","Locomotor activity","MWM - target quadrant swimming distance","Behavioural (other related to psychosis), e.g. positive/negative/cognitive/depression",2
"29","Locomotor activity","OFT","Behavioural (primary): locomotor hyperactivity, PPI impairment",30
"30","Locomotor activity","OFT - Distance travelled","Behavioural (other related to psychosis), e.g. positive/negative/cognitive/depression",2
"31","Locomotor activity","OFT - average speed","Behavioural (other related to psychosis), e.g. positive/negative/cognitive/depression",2
"32","Locomotor activity","OFT - distance (MK-801)","Behavioural (primary): locomotor hyperactivity, PPI impairment",1
"33","Locomotor activity","OFT - distance (cocaine)","Behavioural (primary): locomotor hyperactivity, PPI impairment",1
"34","Locomotor activity","OFT - distance (d-amphetamine)","Behavioural (primary): locomotor hyperactivity, PPI impairment",1
"35","Locomotor activity","OFT locomotor speed","Behavioural (primary): locomotor hyperactivity, PPI impairment",5
"36","Locomotor activity","Open field – distance travelled","Behavioural (primary): locomotor hyperactivity, PPI impairment",7
"37","Locomotor activity","horizontal activity","Behavioural (primary): locomotor hyperactivity, PPI impairment",27
"38","Locomotor activity","locomotion","Behavioural (primary): locomotor hyperactivity, PPI impairment",2
"39","Locomotor activity","locomotor activity","Behavioural (primary): locomotor hyperactivity, PPI impairment",3
"40","Locomotor activity","open field test distance travelled in 1hr","Behavioural (primary): locomotor hyperactivity, PPI impairment",2
"41","Locomotor activity","open field test distance travelled per 20 min","Behavioural (primary): locomotor hyperactivity, PPI impairment",18
"42","Locomotor activity","total distance (Mean +/- SEM)","Behavioural (primary): locomotor hyperactivity, PPI impairment",1
"43","Locomotor activity","total distance travelled","Behavioural (primary): locomotor hyperactivity, PPI impairment",1
"44","Locomotor activity","vertical activity","Behavioural (primary): locomotor hyperactivity, PPI impairment",9
"45","Neurobiological outcome (mechanistic) e.g. dopaminergic/seritonergic/glutamatergic signalling","Striatal dopamine synthesis capacity","Neurobiological outcome (mechanistic) e.g. dopaminergic/seritonergic/glutamatergic signalling",1
"46","Prepulse inhibition","PPI","Behavioural (primary): locomotor hyperactivity, PPI impairment",1
"47","Prepulse inhibition","PPI +12dB","Behavioural (primary): locomotor hyperactivity, PPI impairment",1
"48","Prepulse inhibition","PPI +3dB","Behavioural (primary): locomotor hyperactivity, PPI impairment",1
"49","Prepulse inhibition","PPI +6dB","Behavioural (primary): locomotor hyperactivity, PPI impairment",1
"50","Prepulse inhibition","PPI - 87","Behavioural (primary): locomotor hyperactivity, PPI impairment",2
"51","Prepulse inhibition","PPI - 90","Behavioural (primary): locomotor hyperactivity, PPI impairment",2
"52","Prepulse inhibition","PPI - 93","Behavioural (primary): locomotor hyperactivity, PPI impairment",2
"53","Prepulse inhibition","PPI 74","Behavioural (primary): locomotor hyperactivity, PPI impairment",12
"54","Prepulse inhibition","PPI 78","Behavioural (primary): locomotor hyperactivity, PPI impairment",12
"55","Prepulse inhibition","PPI 82","Behavioural (primary): locomotor hyperactivity, PPI impairment",12
